question,answer
What is the history of the college?,"The Agnel Ashram Fathers – a group of Catholic priests and brothers, along with some well educated, dedicated, zealous and patriotic co-workers have, during the last 45 years, built up a large well-knit family of committed individuals. This unique family, which is spread over different parts of the country, has been instrumental in propounding a powerful MOVEMENT in the realm of education."
What is the history of the college?,"The Agnel Ashram Fathers – a group of Catholic priests and brothers, along with some well educated, dedicated, zealous and patriotic co-workers have, during the last 45 years, built up a large well-knit family of committed individuals. This unique family, which is spread over different parts of the country, has been instrumental in propounding a powerful MOVEMENT in the realm of education."
What is the history of  FCRIT?,"The Agnel Ashram Fathers – a group of Catholic priests and brothers, along with some well educated, dedicated, zealous and patriotic co-workers have, during the last 45 years, built up a large well-knit family of committed individuals. This unique family, which is spread over different parts of the country, has been instrumental in propounding a powerful MOVEMENT in the realm of education."
 history of the college?,"The Agnel Ashram Fathers – a group of Catholic priests and brothers, along with some well educated, dedicated, zealous and patriotic co-workers have, during the last 45 years, built up a large well-knit family of committed individuals. This unique family, which is spread over different parts of the country, has been instrumental in propounding a powerful MOVEMENT in the realm of education."
What is Vision of your college?,"To evolve and flourish as a progressive centre for modern technical education, stirring creativity in every student leading to self-sustainable professionals, through holistic development; nurtured by strength and legitimate pride of Indian values and ethics."
vision of college,"To evolve and flourish as a progressive centre for modern technical education, stirring creativity in every student leading to self-sustainable professionals, through holistic development; nurtured by strength and legitimate pride of Indian values and ethics."
What is the vision of  FCRIT?,"To evolve and flourish as a progressive centre for modern technical education, stirring creativity in every student leading to self-sustainable professionals, through holistic development; nurtured by strength and legitimate pride of Indian values and ethics."
Descibe the vision of college,"To evolve and flourish as a progressive centre for modern technical education, stirring creativity in every student leading to self-sustainable professionals, through holistic development; nurtured by strength and legitimate pride of Indian values and ethics."
What is Mission of your college?,"To foster relationship with other institute of repute, alumni and industry.To provide holistic environment for overall personal development."
What is the mission of FCRIT?,"To foster relationship with other institute of repute, alumni and industry.To provide holistic environment for overall personal development."
What is mission of college?,"To foster relationship with other institute of repute, alumni and industry.To provide holistic environment for overall personal development."
describe the mission of college,"To foster relationship with other institute of repute, alumni and industry.To provide holistic environment for overall personal development."
