question,answer
What is the history of the college?,"The Agnel Ashram Fathers – a group of Catholic priests and brothers, along with some well educated, dedicated, zealous and patriotic co-workers have, during the last 45 years, built up a large well-knit family of committed individuals. This unique family, which is spread over different parts of the country, has been instrumental in propounding a powerful MOVEMENT in the realm of education."
Describe the history of the college,"The Agnel Ashram Fathers – a group of Catholic priests and brothers, along with some well educated, dedicated, zealous and patriotic co-workers have, during the last 45 years, built up a large well-knit family of committed individuals. This unique family, which is spread over different parts of the country, has been instrumental in propounding a powerful MOVEMENT in the realm of education."
history of the Fr. CRIT,"The Agnel Ashram Fathers – a group of Catholic priests and brothers, along with some well educated, dedicated, zealous and patriotic co-workers have, during the last 45 years, built up a large well-knit family of committed individuals. This unique family, which is spread over different parts of the country, has been instrumental in propounding a powerful MOVEMENT in the realm of education."
 history of the college?,"The Agnel Ashram Fathers – a group of Catholic priests and brothers, along with some well educated, dedicated, zealous and patriotic co-workers have, during the last 45 years, built up a large well-knit family of committed individuals. This unique family, which is spread over different parts of the country, has been instrumental in propounding a powerful MOVEMENT in the realm of education."
What is Vision of your college?,"To evolve and flourish as a progressive centre for modern technical education, stirring creativity in every student leading to self-sustainable professionals, through holistic development; nurtured by strength and legitimate pride of Indian values and ethics."
vision of college,"To evolve and flourish as a progressive centre for modern technical education, stirring creativity in every student leading to self-sustainable professionals, through holistic development; nurtured by strength and legitimate pride of Indian values and ethics."
vision of the Fr. CRIT,"To evolve and flourish as a progressive centre for modern technical education, stirring creativity in every student leading to self-sustainable professionals, through holistic development; nurtured by strength and legitimate pride of Indian values and ethics."
Descibe the vision of college,"To evolve and flourish as a progressive centre for modern technical education, stirring creativity in every student leading to self-sustainable professionals, through holistic development; nurtured by strength and legitimate pride of Indian values and ethics."
What is Mission of your college?,"To foster relationship with other institute of repute, alumni and industry.To provide holistic environment for overall personal development."
mission of Fr. CRIT,"To foster relationship with other institute of repute, alumni and industry.To provide holistic environment for overall personal development."
mission of college,"To foster relationship with other institute of repute, alumni and industry.To provide holistic environment for overall personal development."
describe the mission of college,"To foster relationship with other institute of repute, alumni and industry.To provide holistic environment for overall personal development."
Who is Managing Director of your college?,Fr. Saturnino Almeida
MD of college,Fr. Saturnino Almeida
MD of Fr. CRIT,Fr. Saturnino Almeida
Managing Director of Fr. CRIT,Fr. Saturnino Almeida
Who is the chairman of your college?,Fr. Bento Rodrigues
chairman of college,Fr. Bento Rodrigues
chairman of Fr. CRIT,Fr. Bento Rodrigues
Who is vice-chairman of your college?,Fr. Alarico Carvalho
vice chairman of college,Fr. Alarico Carvalho
vice chairman of Fr. CRIT,Fr. Alarico Carvalho
Who is the treasurer of your college?,Fr. Peter D'Souza
treasurer of college,Fr. Peter D'Souza
treasurer of Fr. CRIT,Fr. Peter D'Souza
Who is the Secretary of your college?,Fr. Valerian D'Souza
secretary of college,Fr. Valerian D'Souza
secretary of Fr. CRIT,Fr. Valerian D'Souza
Who is the Member of your college?,Fr. Agnelo Gomes
Who is the Principal of your college?,Dr. S. M. Khot
principal of college,Dr. S. M. Khot
principal of Fr. CRIT,Dr. S. M. Khot
Tell me about Principal?,"Ph.D. (IIT-Bombay),M.E. (Mechanical-Design Engineering) ,B.E. (Mechanical Engineering)"
qualification of principal,"Ph.D. (IIT-Bombay),M.E. (Mechanical-Design Engineering) ,B.E. (Mechanical Engineering)"
Email ID of principal?,principal@fcrit.ac.in
How many departments are there ?,Five
number of departments in Fr. CRIT,Five
no. of departments in college,Five
What are department present in college?,"Computer,Mechanical,Electrical,I.T.,EXTC"
which departments exist?,"Computer,Mechanical,Electrical,I.T.,EXTC"
departments in Fr. CRIT,"Computer,Mechanical,Electrical,I.T.,EXTC"
Tell me about College?,"Fr. CRIT. has, within a short span of time, established itself as a leading engineering college in Mumbai University. Though its reputation rests mainly on the high quality, value-based technical education that it imparts, it has to its credit a verdant, well-maintained Campus and extensive facilities. Its location in the vicinity of the holy places of various religious denominations underscores its secular credentials and its philosophy of ""Vasudhaiva Kuttumbakam"". The college prides on being one of few that has accreditation for all five branches."
describe the college,"Fr. CRIT. has, within a short span of time, established itself as a leading engineering college in Mumbai University. Though its reputation rests mainly on the high quality, value-based technical education that it imparts, it has to its credit a verdant, well-maintained Campus and extensive facilities. Its location in the vicinity of the holy places of various religious denominations underscores its secular credentials and its philosophy of ""Vasudhaiva Kuttumbakam"". The college prides on being one of few that has accreditation for all five branches."
describe Fr. CRIT,"Fr. CRIT. has, within a short span of time, established itself as a leading engineering college in Mumbai University. Though its reputation rests mainly on the high quality, value-based technical education that it imparts, it has to its credit a verdant, well-maintained Campus and extensive facilities. Its location in the vicinity of the holy places of various religious denominations underscores its secular credentials and its philosophy of ""Vasudhaiva Kuttumbakam"". The college prides on being one of few that has accreditation for all five branches."
